,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,austria,belgium,germany,italy,netherlands,date
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,844.5686933370198,277.96020465846,20.208,9.302,88.72925250566,
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,844.5686933370198,277.96020465846,20.208,9.302,88.72925250566,
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,844.5686933370198,277.96020465846,20.208,9.302,88.72925250566,
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,844.5686933370198,277.96020465846,20.208,9.302,88.72925250566,
4,4.0,4.0,4.0,4.0,4.0,4.0,,,,844.5686933370198,277.96020465846,20.208,9.302,88.72925250566,
5,5.0,5.0,5.0,5.0,5.0,5.0,,,,844.5686933370198,277.96020465846,20.208,9.302,88.72925250566,
6,6.0,6.0,6.0,6.0,6.0,,,,,851.0207308266597,515.6326506475001,20.208,8.030000000000001,88.72925250566,
7,7.0,7.0,7.0,7.0,7.0,,,,,851.0207308266597,515.6326506475001,20.208,8.030000000000001,88.72925250566,
8,8.0,8.0,8.0,8.0,8.0,,,,,757.5273658733,599.9983690378001,20.208,8.004000000000001,88.72925250566,
9,9.0,9.0,9.0,9.0,9.0,,,,,757.5273658733,599.9983690378001,20.208,8.004000000000001,88.72925250566,
10,10.0,10.0,10.0,10.0,10.0,,,,,757.5273658733,599.9983690378001,20.208,8.004000000000001,88.72925250566,
11,11.0,11.0,11.0,11.0,11.0,,,,,757.5273658733,599.9983690378001,20.208,8.004000000000001,88.72925250566,
12,12.0,12.0,12.0,12.0,,,,,,757.5273658733,599.9983690378001,20.208,8.004000000000001,88.72925250566,
13,13.0,13.0,13.0,13.0,,,,,,757.5273658733,599.9983690378001,20.208,8.004000000000001,88.72925250566,
14,14.0,14.0,14.0,,,,,,,757.5273658733,599.9983690378001,20.208,8.004000000000001,88.72925250566,
15,15.0,15.0,15.0,,,,,,,757.5273658733,599.9983690378001,20.208,8.004000000000001,88.72925250566,
16,16.0,16.0,,,,,,,,858.42189079074,550.4945693249001,20.208,7.786000000000001,88.78670247880001,
17,17.0,17.0,,,,,,,,858.42189079074,550.4945693249001,20.208,7.786000000000001,88.78670247880001,
18,18.0,18.0,,,,,,,,858.42189079074,550.4945693249001,20.208,7.786000000000001,88.78670247880001,
19,19.0,19.0,,,,,,,,858.42189079074,550.4945693249001,20.208,7.786000000000001,88.78670247880001,
20,20.0,20.0,,,,,,,,858.42189079074,550.4945693249001,20.208,7.786000000000001,88.78670247880001,
21,21.0,21.0,,,,,,,,858.42189079074,550.4945693249001,20.208,7.786000000000001,88.78670247880001,
22,22.0,22.0,,,,,,,,858.42189079074,550.4945693249001,20.208,7.786000000000001,88.78670247880001,
23,23.0,,,,,,,,,844.5686933370202,503.62144715825997,20.208,10.43,73.89386277972,
24,24.0,,,,,,,,,844.5686933370202,503.62144715825997,20.208,10.43,73.89386277972,
25,25.0,,,,,,,,,844.5686933370202,503.62144715825997,20.208,10.43,73.89386277972,
26,26.0,,,,,,,,,844.5686933370202,503.62144715825997,20.208,10.43,73.89386277972,
27,27.0,,,,,,,,,844.5686933370202,503.62144715825997,20.208,10.43,73.89386277972,
28,28.0,,,,,,,,,844.5686933370202,503.62144715825997,20.208,10.43,73.89386277972,
29,,,,,,,,,,844.5686933370202,503.62144715825997,20.208,10.43,73.89386277972,2020-08-31
